                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     59,                0.36277,                 0.1084,                0.47406,                0.80797,                 0.9969,                    0.8,                 0.7954,                0.77918,                 0.9969,                    0.8,                0.81816,                0.79675,                    nan,                 0.1014,                    nan,                    nan,              0.0008714,              0.0008714,              0.0008714
                     60,                0.37981,                0.21071,                0.46104,                0.81287,                0.99686,                    0.8,                 0.7953,                0.78397,                0.99686,                    0.8,                0.80237,                 0.7911,                    nan,                0.10349,                    nan,                    nan,              0.0008516,              0.0008516,              0.0008516
                     61,                0.36636,                0.14726,                0.46165,                 0.8292,                0.99687,                    0.8,                 0.7953,                0.77454,                0.99687,                    0.8,                0.81124,                0.79141,                    nan,                0.10623,                    nan,                    nan,              0.0008318,              0.0008318,              0.0008318
                     62,                0.37775,                0.14047,                0.44715,                0.82469,                0.99678,                    0.8,                0.79539,                0.79529,                0.99678,                    0.8,                0.79988,                0.79063,                    nan,                0.11243,                    nan,                    nan,               0.000812,               0.000812,               0.000812
                     63,                0.35023,                0.15614,                  0.434,                0.84957,                0.99671,                    0.8,                0.79539,                0.79529,                0.99671,                    0.8,                0.83439,                0.80026,                    nan,                0.11136,                    nan,                    nan,              0.0007922,              0.0007922,              0.0007922
                     64,                0.33522,                 0.1539,                0.42875,                0.83668,                0.99676,                    0.8,                 0.7954,                0.78874,                0.99676,                    0.8,                0.83757,                0.80033,                    nan,                0.10579,                    nan,                    nan,              0.0007724,              0.0007724,              0.0007724
                     65,                0.34935,                0.11857,                 0.4301,                0.79333,                0.99679,                    0.8,                0.79539,                0.78843,                0.99679,                    0.8,                0.83446,                0.80057,                    nan,                0.09781,                    nan,                    nan,              0.0007526,              0.0007526,              0.0007526
                     66,                0.37418,                0.13214,                 0.4351,                 0.8214,                0.99676,                    0.8,                0.79538,                 0.7953,                0.99676,                    0.8,                 0.8104,                0.78308,                    nan,                0.09193,                    nan,                    nan,              0.0007328,              0.0007328,              0.0007328
                     67,                0.39432,                0.14847,                0.45297,                0.84519,                0.99683,                    0.8,                0.79538,                0.79529,                0.99683,                    0.8,                0.80504,                0.76701,                    nan,                0.08651,                    nan,                    nan,               0.000713,               0.000713,               0.000713
                     68,                0.30763,                 0.1359,                0.40359,                0.82619,                0.99689,                    0.8,                0.79537,                0.79529,                0.99689,                    0.8,                0.80295,                0.76994,                    nan,                0.08648,                    nan,                    nan,              0.0006932,              0.0006932,              0.0006932
                     69,                0.32058,                0.14033,                0.40736,                0.84129,                0.99686,                    0.8,                0.79528,                0.79528,                0.99686,                    0.8,                0.80142,                0.77624,                    nan,                0.08907,                    nan,                    nan,              0.0006734,              0.0006734,              0.0006734
                     70,                0.30772,                0.11054,                0.40438,                0.79815,                0.99684,                    0.8,                0.79528,                0.79528,                0.99684,                    0.8,                0.80034,                0.79023,                    nan,                0.09833,                    nan,                    nan,              0.0006536,              0.0006536,              0.0006536
                     71,                 0.3006,                0.12365,                0.38834,                0.82296,                 0.9969,                    0.8,                0.79528,                0.79528,                 0.9969,                    0.8,                0.80681,                0.79074,                    nan,                0.10202,                    nan,                    nan,              0.0006338,              0.0006338,              0.0006338
                     72,                0.32323,                0.23305,                0.40589,                0.79398,                0.99694,                    0.8,                0.79528,                0.79528,                0.99694,                    0.8,                0.80318,                0.76918,                    nan,                0.11042,                    nan,                    nan,               0.000614,               0.000614,               0.000614
                     73,                 0.3162,                0.14089,                0.41006,                0.80435,                 0.9969,                    0.8,                0.79531,                0.79531,                 0.9969,                    0.8,                0.80173,                0.77564,                    nan,                 0.1288,                    nan,                    nan,              0.0005942,              0.0005942,              0.0005942
                     74,                 0.3071,                0.17353,                0.41649,                 0.8324,                0.99686,                    0.8,                0.79529,                0.79529,                0.99686,                    0.8,                0.85575,                0.79754,                    nan,                 0.1558,                    nan,                    nan,              0.0005744,              0.0005744,              0.0005744
                     75,                0.33126,                0.15503,                0.41279,                0.84047,                0.99684,                    0.8,                 0.7954,                 0.7953,                0.99684,                    0.8,                0.82181,                0.77857,                    nan,                 0.1363,                    nan,                    nan,              0.0005546,              0.0005546,              0.0005546
                     76,                0.31785,                0.13398,                0.41346,                0.81326,                0.99686,                    0.8,                 0.7953,                 0.7953,                0.99686,                    0.8,                0.85148,                0.78306,                    nan,                0.11697,                    nan,                    nan,              0.0005348,              0.0005348,              0.0005348
                     77,                0.31366,                0.15378,                0.39425,                0.82382,                0.99689,                    0.8,                0.79531,                0.79531,                0.99689,                    0.8,                0.84995,                0.78414,                    nan,                0.10657,                    nan,                    nan,               0.000515,               0.000515,               0.000515
                     78,                0.31314,                0.12562,                0.41182,                0.81361,                 0.9969,                    0.8,                0.79533,                0.79533,                 0.9969,                    0.8,                0.80493,                0.77396,                    nan,                0.10777,                    nan,                    nan,              0.0004952,              0.0004952,              0.0004952
                     79,                0.31113,                0.16047,                0.39368,                0.80798,                0.99693,                    0.8,                0.79534,                0.79534,                0.99693,                    0.8,                0.79973,                0.76329,                    nan,                0.10911,                    nan,                    nan,              0.0004754,              0.0004754,              0.0004754
                     80,                0.29629,                0.17348,                0.39389,                0.81431,                0.99694,                    0.8,                0.79534,                0.79534,                0.99694,                    0.8,                0.79732,                0.76274,                    nan,                0.10875,                    nan,                    nan,              0.0004556,              0.0004556,              0.0004556
                     81,                0.27099,                  0.135,                0.37086,                0.81519,                0.99692,                    0.8,                0.79534,                0.79534,                0.99692,                    0.8,                0.79768,                0.76957,                    nan,                0.10812,                    nan,                    nan,              0.0004358,              0.0004358,              0.0004358
                     82,                0.30917,                0.16124,                0.38348,                0.83262,                0.99687,                    0.8,                0.79532,                0.79532,                0.99687,                    0.8,                0.82536,                0.79055,                    nan,                0.11166,                    nan,                    nan,               0.000416,               0.000416,               0.000416
                     83,                0.28439,                0.11709,                0.36513,                 0.8073,                0.99688,                    0.8,                0.79532,                0.79532,                      1,                0.84725,                0.84873,                0.80825,                    nan,                0.11519,                    nan,                    nan,              0.0003962,              0.0003962,              0.0003962
                     84,                0.29152,                0.14972,                0.38077,                 0.8124,                0.99687,                    0.8,                0.79532,                0.79532,                      1,                0.84727,                0.84731,                0.83753,                    nan,                0.12047,                    nan,                    nan,              0.0003764,              0.0003764,              0.0003764
                     85,                0.27041,                0.13502,                0.37534,                0.83743,                0.99689,                    0.8,                0.79532,                0.79532,                      1,                0.84728,                0.85164,                0.83483,                    nan,                0.12484,                    nan,                    nan,              0.0003566,              0.0003566,              0.0003566
