                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     87,                0.64929,                 1.9506,                0.60922,                0.91858,                      1,                 0.4359,                0.91275,                0.70548,                0.88497,                 0.3859,                0.75435,                0.42919,                    nan,                 2.4891,                    nan,                    nan,               0.000317,               0.000317,               0.000317
                     88,                0.63241,                  1.701,                0.61033,                0.91183,                      1,                0.43769,                0.92272,                 0.7322,                0.88547,                0.38769,                0.77878,                0.43919,                    nan,                 2.5316,                    nan,                    nan,              0.0002972,              0.0002972,              0.0002972
                     89,                0.53668,                   1.77,                0.52723,                0.87646,                      1,                0.55816,                0.91008,                 0.7195,                0.91033,                0.50816,                0.78273,                0.42326,                    nan,                    2.6,                    nan,                    nan,              0.0002774,              0.0002774,              0.0002774
                     90,                0.56409,                 1.9456,                0.55133,                 0.9023,                      1,                0.61854,                0.96886,                0.75498,                0.83809,                0.51854,                0.74063,                0.41238,                    nan,                 2.7172,                    nan,                    nan,              0.0002576,              0.0002576,              0.0002576
                     91,                0.38168,                 1.6746,                0.50424,                0.80278,                      1,                0.62948,                0.97394,                0.76529,                0.84089,                0.52948,                 0.7443,                0.42089,                    nan,                 2.7157,                    nan,                    nan,              0.0002378,              0.0002378,              0.0002378
                     92,                0.40909,                 1.6967,                 0.5067,                0.81784,                      1,                0.64138,                0.94043,                 0.7433,                0.84394,                0.54138,                0.73306,                0.42326,                    nan,                 2.6949,                    nan,                    nan,               0.000218,               0.000218,               0.000218
                     93,                0.39508,                 1.6993,                0.48788,                0.82066,                      1,                 0.5416,                0.90407,                0.71031,                0.90802,                0.49412,                0.79538,                0.43248,                    nan,                 2.6455,                    nan,                    nan,              0.0001982,              0.0001982,              0.0001982
                     94,                0.37012,                 1.6253,                0.47798,                0.84306,                      1,                0.43423,                 0.8938,                0.70273,                0.88451,                0.38423,                0.78954,                0.45495,                    nan,                 2.5851,                    nan,                    nan,              0.0001784,              0.0001784,              0.0001784
                     95,                 0.3601,                 1.6188,                0.47193,                0.80997,                      1,                0.41863,                0.87278,                0.68444,                 0.8805,                0.36979,                0.76747,                0.44321,                    nan,                 2.5964,                    nan,                    nan,              0.0001586,              0.0001586,              0.0001586
                     96,                 0.3744,                 1.6413,                0.46446,                0.77032,                      1,                0.40197,                0.84218,                 0.6692,                0.87555,                0.35197,                0.73342,                0.42242,                    nan,                 2.5978,                    nan,                    nan,              0.0001388,              0.0001388,              0.0001388
                     97,                0.34133,                 1.5518,                0.44632,                0.80511,                      1,                0.38247,                0.81022,                0.65345,                0.86874,                0.33247,                0.70342,                0.40521,                    nan,                 2.5825,                    nan,                    nan,               0.000119,               0.000119,               0.000119
                     98,                0.36508,                 1.5781,                0.46867,                0.79464,                      1,                0.36861,                0.78689,                 0.6389,                 0.8643,                0.32003,                0.68513,                 0.4145,                    nan,                 2.5445,                    nan,                    nan,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                0.35411,                 1.5615,                0.46088,                0.82697,                      1,                0.37135,                0.79888,                0.64835,                0.86477,                0.32135,                0.69641,                0.43018,                    nan,                 2.5344,                    nan,                    nan,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                0.35955,                 1.5909,                0.45234,                0.82594,                      1,                0.37195,                0.78542,                0.63864,                0.86498,                0.32195,                0.68381,                  0.424,                    nan,                 2.5272,                    nan,                    nan,               5.96e-05,               5.96e-05,               5.96e-05
